거래처명,예상주문횟수,예상총매출액
주식회사 에이씨티,183,7442306037.0
경인팩,180,2118309480.0
(주)아이마켓코리아,122,952286738.0
(주)지엔에스트레이딩,121,4803483531.0
파워엠팩,91,13310153493.0
동원팩,90,234734130.0
대상산업,90,463772160.0
신광포장기계,72,644843304.0
광림파워팩,46,1740701456.0
광림포장기계컨베이어,46,1603550340.0
주신산업,40,65907000.0
한솔포장,37,208121855.0
제일산업(주)(화성),37,535725294.0
서울포장기계,36,163496196.0
주)대성씨앤씨,31,212895600.0
대영포장(주)발안공장,28,785718052.0
전주삼신산업,28,67510688.0
진송팩,27,108049194.0
대경(박타원),24,432830256.0
보우팩,23,1107430795.0
금산포장,22,62059074.0
한서포장,21,322434294.0
주식회사 대한종합포장,20,218700000.0
주식회사 광림파워팩,20,174371060.0
(주)낙원포장,19,225796000.0
경인산업,19,70566000.0
합동포장기계,18,187201494.0
광림포장기계,17,20672000.0
신대한판지(주),17,896091624.0
한국전자금융(주),17,11318804.0
(주)삼화인쇄,15,428503860.0
우선산업,15,75064500.0
한남포장기계,15,69750000.0
주식회사 동원피앤아이,14,150542000.0
제이케이머티리얼즈(주)／순성공장,14,136655582.0
삼원산업,12,63600000.0
주식회사 에이스팩,12,59224368.0
CYKLOP PACKAGING SYSTEMS PTY LTD.,11,822216164.0
KOMERI,10,391313900.0
RLBUTTON,10,334250990.0
동서포장종합상사,10,3720000.0
동방포장기자재,10,16477500.0
한국포장기계,9,100817397.0
강원농협연합포장재가공사업소,9,44043750.0
PACKAGING HOUSE,8,267885832.0
신광포장기계(부산),8,5125336.0
해성수출포장,7,14841785.0
한국미쓰비시상사(주),7,1276483383.0
백암지관공업사,6,3780000.0
NZ SAFETY BLACKWOODS,6,105752184.0
"SANYU CO.,LTD",6,235720392.0
(주)한제피앤에스,6,651798486.0
제일포장(김해),6,64804146.0
POWERPAK,5,409256415.0
(주)탐스텍,5,70220700.0
ANDERSON WHOLESALE PACKAGING PTY LTD.,5,223143575.0
상일교역상사,5,563041835.0
HIGHGATE DISTRIBUTION,4,495557656.0
NORTH SHORE,4,1304525708.0
TIGERPAK PACKAGING,4,279606272.0
PUNCHBOWL,3,40709748.0
한길포장기계,3,19224999.0
ABL,2,180143410.0
PARAMOUNT PAPER MERCHANTS PTY LTD.,2,37772354.0
