날짜,거래처,품목,수량,예측신뢰도,거래유형,최근거래일,평균주기(일),패턴
2026-01-03,전주삼신산업,PP9MMPP9M／M10KG(황),82.12,76.1,안정,2025-12-12,22.3,확률적 예측
2026-01-04,KOMERI,"15.5 x 2,500M 0.55T15.5x2,500M0.55T황색",2951.71,73.5,안정,2025-11-23,42.5,확률적 예측
2026-01-04,KOMERI,15 x 100M 0.55T15x100M0.55T백색,1266.3,73.5,안정,2025-11-23,42.5,확률적 예측
2026-01-04,KOMERI,15 x 100M 0.55T15x100M0.55T자색,453.38,73.5,안정,2025-11-23,42.5,확률적 예측
2026-01-05,한남포장기계,PP12MPP12M／M9KG(황),907.88,74.6,안정,2025-12-16,20.3,확률적 예측
2026-01-05,합동포장기계,PP12MPP12M／M10KG(황),394.23,84.0,안정,2026-01-05,29.4,매월 초 (3~10일)
2026-01-05,한길포장기계,PP12MPP12M／M10KG(황),815.42,82.9,안정,2026-01-05,31.9,매월 초 (3~10일)
2026-01-05,대상산업,PE28mm 2kgPE28M／M(백)2KG,380.19,70.4,안정,2025-12-31,5.2,확률적 예측
2026-01-05,주식회사 진도종합상사,운송료,4.22,80.6,안정,2026-01-05,41.9,매월 초 (3~10일)
2026-01-05,합동포장기계,PP6MMPP6M／M10KG(백),286.84,80.1,안정,2026-01-05,38.8,매월 초 (3~10일)
2026-01-05,한길포장기계,PP12MPP12M／M10KG(백),665.71,84.2,안정,2026-01-05,36.7,매월 초 (3~10일)
2026-01-07,KOMERI,"15 x 1,000M 0.55T Yellow15x1,000M0.55T 황색",3040.56,72.5,안정,2025-11-23,45.5,확률적 예측
2026-01-07,주)대성씨앤씨,스트레치필름(일반 기계랩)20*500mm*1400m,26.3,84.6,안정,2025-12-09,29.5,확률적 예측
2026-01-07,KOMERI,15 x 100M 0.55T15x100M0.55T녹색,352.57,72.5,안정,2025-11-23,45.5,확률적 예측
2026-01-07,주식회사 대원포장기계,PE28mm 2kgPE28M／M(백)2KG,505.26,79.2,안정,2025-12-01,37.3,확률적 예측
2026-01-07,대상산업,"PE50mm, 6KGPE50M／M(백)6KG",149.65,71.8,안정,2025-12-22,16.6,확률적 예측
2026-01-07,KOMERI,15 x 100M 0.55T15x100M0.55T적색,312.13,72.4,안정,2025-11-23,45.5,확률적 예측
2026-01-08,주식회사 대한종합포장,PP12MPP12M／M10KG(백),465.14,76.7,안정,2025-11-24,45.1,확률적 예측
2026-01-10,호성수출포장,스트레치필름(일반 핸드랩 20)20*500mm*350m,106.53,78.1,안정,2025-10-31,71.6,확률적 예측
2026-01-10,대상산업,PE28mm 2kgPE28M／M(백)2KG,399.1,70.4,안정,2025-12-31,5.2,확률적 예측
2026-01-11,동원팩,"PE28mm, 6KGPE28M／M(백)6KG",396.3,70.1,안정,2026-01-05,6.4,확률적 예측
2026-01-11,피앤비,PP12MPP12M／M10KG(백),551.17,85.0,안정,2025-11-06,66.8,확률적 예측
2026-01-12,대상산업,"PE50mm, 6KGPE50M／M(황)6KG",217.07,77.9,안정,2025-11-20,53.2,확률적 예측
2026-01-13,NZ SAFETY BLACKWOODS,PP19MPP19M／M*0.55T 1000M Blue,1881.98,77.1,안정,2025-11-02,72.2,확률적 예측
2026-01-14,주식회사 대한종합포장,PP5MMx7000Mx0.5T 백색,39.54,71.2,안정,2025-11-10,65.3,확률적 예측
2026-01-15,대상산업,PE28mm 2kgPE28M／M(백)2KG,421.45,70.4,안정,2025-12-31,5.2,확률적 예측
2026-01-15,피앤비,PP7MPP7M10KG백색,553.82,79.2,안정,2025-11-06,70.9,확률적 예측
2026-01-17,RLBUTTON,PP19M * 1000M HD BlackPP19MM*1000M*0.85T Black,4083.2,84.7,안정,2025-12-16,62.0,매월 중순 (14~20일)
2026-01-17,동원팩,"PE28mm, 6KGPE28M／M(백)6KG",389.34,70.1,안정,2026-01-05,6.4,확률적 예측
2026-01-18,제이케이머티리얼즈(주)/순성공장,PP18MPP18M／M10KG(황),460.46,80.0,안정,2025-12-26,23.9,확률적 예측
2026-01-18,신한포장기계(주),PE28mm 2kgPE28M／M(백)2KG,0.0,73.4,안정,2025-11-10,69.8,확률적 예측
2026-01-18,한국포장기계,PP6MMPP6M／M10KG(백),1908.77,75.1,안정,2025-12-29,20.1,확률적 예측
2026-01-19,태광오토팩,PE28mm 2kgPE28M／M(백)2KG,608.41,75.0,안정,2025-11-11,69.2,확률적 예측
2026-01-19,한국포장기계,PE28mm 2kgPE28M／M(백)2KG,1581.89,75.6,안정,2025-12-29,21.3,확률적 예측
2026-01-19,(주)낙원포장,PP12MPP12M／M10KG(황),1680.85,74.8,안정,2025-12-23,27.7,확률적 예측
2026-01-20,대상산업,PE28mm 2kgPE28M／M(백)2KG,381.35,70.4,안정,2025-12-31,5.2,확률적 예측
2026-01-22,서흥포장 주식회사,스트레치필름(특수기능형)15*500*400,56.47,90.3,안정,2025-12-10,43.0,확률적 예측
2026-01-23,대상산업,"PE50mm, 6KGPE50M／M(백)6KG",156.95,71.8,안정,2025-12-22,16.6,확률적 예측
2026-01-23,경인산업,PP12MPP12M／M10KG(백),273.15,76.6,안정,2025-12-04,25.7,확률적 예측
2026-01-23,민건 이에이,PP12MPP12M／M10KG(백),320.86,71.2,안정,2025-12-24,30.2,확률적 예측
2026-01-23,동원팩,"PE28mm, 6KGPE28M／M(백)6KG",387.86,70.1,안정,2026-01-05,6.4,확률적 예측
2026-01-24,(주)낙원포장,PP10MPP10M／M10KG(백색),0.0,75.2,안정,2025-11-05,80.1,확률적 예측
2026-01-25,한남포장기계,PP12MPP12M／M9KG(황),932.62,74.6,안정,2025-12-16,20.3,확률적 예측
2026-01-25,신광포장기계,PP18MPP18M／M10KG 황색인쇄밴드,1583.35,77.6,안정,2025-12-02,27.5,확률적 예측
2026-01-25,대상산업,PE28mm 2kgPE28M／M(백)2KG,399.86,70.4,안정,2025-12-31,5.2,확률적 예측
2026-01-25,전주삼신산업,PP9MMPP9M／M10KG(황),80.28,76.1,안정,2025-12-12,22.3,확률적 예측
2026-01-26,합동포장기계,PE28mm 2kgPE28M／M(백)2KG,883.67,77.7,안정,2026-01-05,21.6,확률적 예측
2026-01-26,주식회사 광림파워팩,PP12MPP12M／M12.5KG (황),283.23,80.5,안정,2025-12-31,26.8,확률적 예측
2026-01-26,천일포장산업,PP6MMPP6M／M10KG(백),2939.14,72.3,안정,2025-12-01,28.0,확률적 예측
2026-01-26,NZ SAFETY BLACKWOODS,"12 x 3,000M 0.60T12x3,000M0.60TBLUE",0.0,74.2,안정,2025-11-02,85.4,확률적 예측
2026-01-27,신광포장기계,PP15MPP15MM*10KG(청색),275.87,80.3,안정,2025-11-26,62.4,확률적 예측
2026-01-28,경인산업,PP7MPP7M10KG백색,640.0,82.4,안정,2025-10-31,89.0,매 89±12일
2026-01-28,합동포장기계,PP12MPP12M／M12.5KG (황),3418.95,78.1,안정,2026-01-05,23.7,확률적 예측
2026-01-29,동원팩,"PE28mm, 6KGPE28M／M(백)6KG",375.75,70.1,안정,2026-01-05,6.4,확률적 예측
2026-01-30,주식회사 동원피앤아이,"PE50mm, 4.7KGPE50M／M(황)4.7KG",440.27,82.7,안정,2025-12-17,44.6,확률적 예측
2026-01-30,대상산업,PE28mm 2kgPE28M／M(백)2KG,371.36,70.4,안정,2025-12-31,5.2,확률적 예측
2026-01-30,세화종합상사,PE28mm 2kgPE28M／M(백)2KG,0.0,78.8,안정,2025-11-24,67.2,확률적 예측
2026-02-01,한길포장기계,PE28mm 2kgPE28M／M(백)2KG,186.35,77.0,안정,2026-01-05,27.2,확률적 예측
2026-02-01,(주)낙원포장,PP15MPP15MM*10KG(황색),538.69,76.6,안정,2025-12-23,40.1,확률적 예측
2026-02-01,(주)스피드랩코리아,PP6MMPP6M／M10KG(백),545.86,75.5,안정,2026-01-05,27.1,확률적 예측
2026-02-02,하영종합상사,운송료,0.36,72.4,불규칙,2025-09-29,63.7,확률적 예측
2026-02-04,대상산업,PE28mm 2kgPE28M／M(백)2KG,351.57,70.4,안정,2025-12-31,5.2,확률적 예측
2026-02-04,동원팩,"PE28mm, 6KGPE28M／M(백)6KG",271.47,70.1,안정,2026-01-05,6.4,확률적 예측
2026-02-04,우선산업,PE28mm 2kgPE28M／M(백)2KG,7.43,75.3,안정,2025-12-26,40.4,확률적 예측
