,거래건수,거래일수,평균주기(일),중앙값주기(일),표준편차(일),최소주기(일),최대주기(일),최초거래일,최근거래일,총거래기간(일),평균월거래량(kg),평균월매출액,주기규칙성
경인팩,6567,2370,2.5,1.0,2.2,1,19,2010-01-06 00:00:00,2026-01-05 00:00:00,5843,13728.16,32399946.0,불규칙적
(주)아이마켓코리아,5946,1049,3.5,3.0,2.4,1,18,2015-12-24 00:00:00,2025-12-24 00:00:00,3653,51089.57,90935352.0,불규칙적
대상산업,2427,1236,4.7,4.0,2.9,1,25,2010-01-07 00:00:00,2026-01-02 00:00:00,5839,4189.15,10956039.0,불규칙적
파워엠팩,2400,1410,4.0,3.0,9.2,1,325,2010-01-11 00:00:00,2025-07-23 00:00:00,5672,8487.07,16192221.0,불규칙적
(주)지엔에스트레이딩,2167,460,3.3,3.0,2.2,1,14,2010-04-02 00:00:00,2014-06-05 00:00:00,1525,24510.49,52698321.0,불규칙적
동원팩,1907,787,4.4,4.0,3.2,1,19,2016-08-19 00:00:00,2026-01-05 00:00:00,3426,4736.34,11821656.0,불규칙적
신광포장기계,1683,753,5.6,4.0,5.2,1,71,2014-07-09 00:00:00,2026-01-05 00:00:00,4198,4161.91,8240057.0,불규칙적
광림파워팩,1613,448,8.6,7.0,5.4,1,36,2011-05-12 00:00:00,2021-11-04 00:00:00,3829,9041.58,16906369.0,불규칙적
KOMERI,1331,167,34.9,31.0,17.2,1,92,2010-01-12 00:00:00,2025-11-23 00:00:00,5794,8080.96,22173261.0,규칙적
주식회사 에이씨티,1234,247,2.5,2.0,1.6,1,7,2014-05-26 00:00:00,2016-01-20 00:00:00,604,30550.57,59812074.0,불규칙적
RLBUTTON,1009,160,36.3,33.0,25.7,1,133,2010-03-06 00:00:00,2025-12-16 00:00:00,5764,15701.27,32646447.0,불규칙적
합동포장기계,947,295,19.8,20.0,9.9,1,44,2010-01-18 00:00:00,2026-01-05 00:00:00,5831,3469.02,7149172.0,불규칙적
전주삼신산업,871,412,13.4,10.0,25.1,1,479,2010-12-20 00:00:00,2025-12-29 00:00:00,5488,1153.79,2917354.0,불규칙적
"SANYU CO.,LTD",686,61,61.7,59.0,24.7,24,140,2010-01-13 00:00:00,2020-03-02 00:00:00,3701,126119.76,18813691.0,규칙적
CYKLOP PACKAGING SYSTEMS PTY LTD.,594,100,33.9,29.0,22.3,1,96,2016-10-13 00:00:00,2025-12-25 00:00:00,3360,24795.81,52078889.0,불규칙적
금산포장,499,348,16.8,13.0,13.6,1,81,2010-01-11 00:00:00,2026-01-05 00:00:00,5838,1280.57,3458966.0,불규칙적
삼원산업,463,195,30.0,27.0,21.4,1,105,2010-01-22 00:00:00,2025-12-31 00:00:00,5822,2942.18,5472032.0,불규칙적
진송팩,455,275,13.2,7.0,14.9,1,107,2016-01-26 00:00:00,2026-01-02 00:00:00,3629,1759.59,4492600.0,불규칙적
한서포장,426,230,18.4,16.0,10.2,1,48,2010-01-15 00:00:00,2021-07-29 00:00:00,4213,1649.41,3366856.0,불규칙적
(주)삼화인쇄,417,208,23.9,18.0,22.4,1,174,2010-01-07 00:00:00,2023-07-18 00:00:00,4940,2251.91,4449192.0,불규칙적
NORTH SHORE,402,49,110.0,73.0,124.3,3,602,2010-05-11 00:00:00,2024-10-25 00:00:00,5281,20712.09,57674686.0,불규칙적
POWERPAK,399,73,68.6,55.5,48.4,7,223,2010-10-15 00:00:00,2024-04-25 00:00:00,4941,11486.25,25339673.0,불규칙적
ANDERSON WHOLESALE PACKAGING PTY LTD.,379,50,71.3,65.0,36.2,10,174,2016-05-19 00:00:00,2025-12-14 00:00:00,3496,17657.12,37745301.0,불규칙적
주신산업,375,177,9.2,7.0,9.0,1,53,2021-07-29 00:00:00,2026-01-05 00:00:00,1621,333.44,862535.0,불규칙적
주식회사 광림파워팩,360,116,18.0,11.0,27.6,1,230,2020-04-28 00:00:00,2025-12-31 00:00:00,2073,4367.81,8694667.0,불규칙적
서울포장기계,325,237,10.5,9.0,8.2,1,53,2015-04-06 00:00:00,2022-01-21 00:00:00,2482,3126.94,5198606.0,불규칙적
(주)한제피앤에스,314,82,61.3,41.0,56.0,1,269,2010-03-18 00:00:00,2023-10-25 00:00:00,4969,8075.09,13652537.0,불규칙적
보우팩,308,164,16.2,10.0,22.6,1,197,2018-05-15 00:00:00,2025-08-06 00:00:00,2640,4235.3,9089981.0,불규칙적
TIGERPAK PACKAGING,279,45,90.8,85.0,61.7,2,261,2015-01-16 00:00:00,2025-12-25 00:00:00,3996,17813.38,39904402.0,불규칙적
NZ SAFETY BLACKWOODS,257,56,57.9,52.0,34.1,1,157,2017-02-11 00:00:00,2025-11-02 00:00:00,3186,8018.54,17042392.0,불규칙적
상일교역상사,256,76,74.9,74.0,49.8,1,234,2010-03-26 00:00:00,2025-08-13 00:00:00,5619,20202.35,46413765.0,불규칙적
(주)낙원포장,250,135,19.1,14.0,17.9,1,110,2018-12-19 00:00:00,2025-12-23 00:00:00,2561,7150.49,14480532.0,불규칙적
제일산업(주)(화성),250,149,10.4,8.0,7.3,1,31,2010-01-06 00:00:00,2014-03-19 00:00:00,1533,2447.71,5097472.0,불규칙적
대경(박타원),245,166,15.5,12.0,14.3,1,117,2010-01-08 00:00:00,2017-01-02 00:00:00,2551,1181.56,2941226.0,불규칙적
동방포장기자재,215,151,38.6,20.0,66.1,2,648,2010-01-21 00:00:00,2025-11-24 00:00:00,5786,1639.84,2911199.0,불규칙적
한솔포장,206,106,10.9,9.0,7.7,1,33,2017-02-08 00:00:00,2020-03-27 00:00:00,1143,2191.79,5807431.0,불규칙적
광림포장기계,203,71,21.6,20.0,17.4,1,117,2021-11-10 00:00:00,2025-12-31 00:00:00,1512,2666.93,5365833.0,불규칙적
(주)탐스텍,192,68,69.9,63.0,35.9,10,172,2013-03-07 00:00:00,2025-12-29 00:00:00,4680,5256.63,10074773.0,불규칙적
대영포장(주)발안공장,189,133,13.1,13.0,8.2,1,34,2016-04-14 00:00:00,2021-01-04 00:00:00,1726,3969.34,7304012.0,불규칙적
주식회사 동원피앤아이,184,123,26.1,14.0,28.5,1,202,2017-04-07 00:00:00,2025-12-26 00:00:00,3185,9754.85,6634779.0,불규칙적
PACKAGING HOUSE,182,45,43.2,39.0,22.7,7,111,2011-10-27 00:00:00,2017-01-07 00:00:00,1899,9887.54,21908765.0,불규칙적
ABL,179,27,201.8,128.5,186.4,35,945,2010-02-27 00:00:00,2024-07-10 00:00:00,5247,10569.47,26155680.0,불규칙적
