00~26 구매조회,,,,,,,,
일자-No.,거래처명,품목명,금액합계,거래유형,창고명,회계반영여부,인쇄,불러온 전표
20251229-2,에어팩코리아,에어백 APK-1022 (1000*2200) [에어백 1000*2200] 외 1건,784300,세금계산서,PP,Y,인쇄,조회
20251229-1,제이케이머티리얼즈(주)/순성공장,PP원료,26764078,세금계산서,PP,Y,인쇄,조회
20251227-1,(주)경남캐미칼,J-0103 제습제,154000,세금계산서,PP,Y,인쇄,조회
20251226-3,주식회사 썬에이스,MF5000(PE원료) [MF5000P_750KG],19140000,세금계산서,PE,N,인쇄,조회
20251226-2,백암지관공업사,지관 200 [지관 200＊8＊186],624624,세금계산서,PP,Y,인쇄,조회
20251226-1,백암지관공업사,지관 200 [지관 200＊8＊186] 외 1건,1873872,세금계산서,PP,Y,인쇄,조회
20251224-1,(주)태진케미칼,PP원료 [PPA],12144000,세금계산서,PP,Y,인쇄,조회
20251223-5,백암지관공업사,지관 200 [지관 200＊8＊186] 외 1건,1873872,세금계산서,PP,Y,인쇄,조회
20251223-4,일신케미칼,PP임가공 [PP임가공],2489520,세금계산서,PP,Y,인쇄,조회
20251223-3,(주)경남캐미칼,산화방지제 외 1건,2027520,세금계산서,PP,Y,인쇄,조회
20251223-2,금성포장,KIC PAD 540 [540*200],1002375,세금계산서,PP,Y,인쇄,조회
20251223-1,효창산업,CALPET [CALPET] 외 1건,5192000,세금계산서,PP,Y,인쇄,조회
20251222-2,제이케이머티리얼즈(주)/순성공장,PP원료,27476064,세금계산서,PP,Y,인쇄,조회
20251222-1,(주)경남캐미칼,MB 100B（ [M／B 100B（WHITE）],181500,세금계산서,PP,Y,인쇄,조회
20251219-1,금성포장,KIC 450 [450*200],1760550,세금계산서,PP,Y,인쇄,조회
20251218-4,S-OIL(주)온산공장,HD500/PP50DW [500KG],17160000,세금계산서,PP,N,인쇄,조회
20251218-3,주식회사 썬에이스,MF5000(PE원료) [MF5000P_750KG],19140000,세금계산서,PE,N,인쇄,조회
20251218-2,삼보팩,박스 외부 PE (폴리밴드) [320 190 780],1126400,세금계산서,PE,Y,인쇄,조회
20251218-1,금성포장,KIC PAD 380 [380*200] 외 1건,1579050,세금계산서,PP,Y,인쇄,조회
20251217-1,(주)경남캐미칼,MB 510-2 [M／B 510-2 (BLUE)],1925000,세금계산서,PP,Y,인쇄,조회
20251216-5,지에스칼텍스(주),H430-A [500KG],31218000,세금계산서,PP,N,인쇄,조회
20251216-4,S-OIL(주)온산공장,HD500/PP75EW [500KG],343200000,세금계산서,PP,N,인쇄,조회
20251216-3,백암지관공업사,지관 50 [지관 50＊5＊182] 외 2건,2047848,세금계산서,PP,Y,인쇄,조회
20251216-2,금성포장,타이거팩 4505 C/T 430 [430*130*430],786500,세금계산서,PP,Y,인쇄,조회
20251216-1,재윤상사,팔레트 [1100*1300],1036750,세금계산서,PP,Y,인쇄,조회
20251215-2,(주)태진케미칼,PP원료 [PPA],12144000,세금계산서,PP,Y,인쇄,조회
20251215-1,백암지관공업사,지관 200 [지관 200＊8＊186] 외 1건,1249248,세금계산서,PP,Y,인쇄,조회
20251212-4,주)대성씨앤씨,테르마 크라프트 C/T [260*132*260],527560,세금계산서,PP,N,인쇄,조회
20251212-3,한국파렛트풀(주),팔레트 1100*1100*120 [1100*1100*120 7.5kg],1936000,세금계산서,PP,N,인쇄,조회
20251212-2,(주)영화수출포장,박스 D-28(770)폴리테잎 [770 315 205] 외 1건,1584000,세금계산서,PE,N,인쇄,조회
20251212-1,덕흥수지,PP원료(A),22176000,세금계산서,PP,Y,인쇄,조회
20251211-2,백암지관공업사,지관 200 [지관 200＊8＊186] 외 1건,1249248,세금계산서,PP,Y,인쇄,조회
20251211-1,삼진폴리텍,CALPET [강도보강제 #480],632500,세금계산서,PP,Y,인쇄,조회
20251210-3,주식회사 썬에이스,MF5000(PE원료) [MF5000P_750KG],19140000,세금계산서,PE,N,인쇄,조회
20251210-2,"주식회사 오비아이(OBI co.,Ltd.)",현장용 [1*180*50/타],396000,세금계산서,PP,Y,인쇄,조회
20251210-1,금성포장,타이거팩 45000 C/T 320 [320*130*312],1116225,세금계산서,PP,Y,인쇄,조회
20251209-3,(주)영화수출포장,박스 경인팩 6KG [465 455 250] 외 2건,2543750,세금계산서,PE,N,인쇄,조회
20251209-2,백암지관공업사,지관 200 [지관 200＊8＊186] 외 1건,1249248,세금계산서,PP,Y,인쇄,조회
20251209-1,백암지관공업사,지관 200 [지관 200＊4＊189],784784,세금계산서,PP,Y,인쇄,조회
20251208-1,S-OIL(주)온산공장,HD500/PP50DW [500KG],35750000,세금계산서,PP,N,인쇄,조회
20251203-4,금정기획,라벨(아트지도안 타이거팩) 45020 [120*65] 외 2건,550000,세금계산서,PP,Y,인쇄,조회
20251203-3,재생산업,PP 재생원료 외 1건,32247600,세금계산서,PP,Y,인쇄,조회
20251203-2,(주)태진케미칼,PP원료 [PPA],12144000,세금계산서,PP,Y,인쇄,조회
20251203-1,백암지관공업사,지관 50 [지관 50＊5＊182] 외 2건,2219536,세금계산서,PP,Y,인쇄,조회
20251202-2,(주)낙원포장,반자동밴딩기 [strapack IQ-400],1155000,세금계산서,PP,Y,인쇄,조회
20251202-1,주식회사 대한종합포장,4개입 박스 - 무인쇄 [445*440*215],847000,세금계산서,PP,N,인쇄,조회
20251201-1,백암지관공업사,지관 406 [지관 406＊6＊155] 외 1건,1703284,세금계산서,PP,Y,인쇄,조회
20251128-1,주식회사 썬에이스,SY-130 [130_500kg],8580000,세금계산서,PP,Y,인쇄,조회
20251126-2,(주)태진케미칼,PP원료 [PPA],12144000,세금계산서,PP,Y,인쇄,조회
20251126-1,S-OIL(주)온산공장,HD500/PP50DW [500KG],35750000,세금계산서,PP,Y,인쇄,조회
20251125-5,제이케이머티리얼즈(주)/순성공장,PP원료,28122820,세금계산서,PP,Y,인쇄,조회
20251125-4,백암지관공업사,지관 200 [지관 200＊8＊190] 외 1건,1610400,세금계산서,PP,Y,인쇄,조회
20251125-3,주식회사 썬에이스,MF5000(PE원료) [MF5000P_750KG],19140000,세금계산서,PE,Y,인쇄,조회
20251125-2,에어팩코리아,에어백 APK-1022 (1000*2200) [에어백 1000*2200] 외 1건,635800,세금계산서,PP,Y,인쇄,조회
20251124-3,금성포장,무지 PAD [420＊200] 외 1건,1650000,세금계산서,PP,Y,인쇄,조회
20251124-2,주식회사 대한종합포장,원형PAD [400*200 인쇄] 외 1건,1826605,세금계산서,PP,Y,인쇄,조회
20251124-1,성은산업,수축필름 [220*145 (고메리)],1188000,세금계산서,PP,Y,인쇄,조회
20251121-6,디엘에프엔씨 주식회사,PP원료 [재생],29040000,세금계산서,PP,Y,인쇄,조회
20251121-5,주식회사 대한종합포장,원형PAD [400*200 인쇄] 외 1건,2792075,세금계산서,PP,Y,인쇄,조회
20251121-3,백암지관공업사,지관 406 [지관 406＊6＊155],1685376,세금계산서,PP,Y,인쇄,조회
20251121-2,(주)스피드랩코리아,스트레치필름(일반 핸드랩) [20*300*380m],1138896,세금계산서,PP,Y,인쇄,조회
20251121-1,일신케미칼,PP임가공 [PP임가공],2564320,세금계산서,PP,Y,인쇄,조회
20251120-6,주식회사시몬사,피피클립 [19*28(2KG-삼성)],138600,세금계산서,PP,Y,인쇄,조회
20251120-5,성신목재,팔레트 1080＊1080 [1080＊1080] 외 7건,704000,세금계산서,PP,Y,인쇄,조회
20251120-4,(주)태진케미칼,PP원료 [PPA],12144000,세금계산서,PP,Y,인쇄,조회
20251120-3,백암지관공업사,지관 200 [지관 200＊8＊186] 외 1건,1873872,세금계산서,PP,Y,인쇄,조회
20251120-2,(주)경남캐미칼,MB 100B（ [M／B 100B（WHITE）] 외 1건,3740000,세금계산서,PP,Y,인쇄,조회
20251120-1,주식회사 대한종합포장,원형PAD [400*200 인쇄] 외 1건,424116,세금계산서,PP,Y,인쇄,조회
20251118-2,주식회사 썬에이스,MF5000(PE원료) [MF5000P_750KG],11962500,세금계산서,PE,Y,인쇄,조회
20251118-1,백암지관공업사,지관 50 [지관 50＊5＊182] 외 2건,2846448,세금계산서,PP,Y,인쇄,조회
20251117-5,한국파렛트풀(주),팔레트 1100*1100*120 [1100*1100*120 7kg],1331000,세금계산서,PP,Y,인쇄,조회
20251117-4,우선산업,PP9M/M [PP9M/M*9.5KG*0.95T(백색)],1745150,세금계산서,상품,Y,인쇄,조회
20251117-3,S-OIL(주)온산공장,HD500/PP50DW [500KG],35750000,세금계산서,PP,Y,인쇄,조회
20251117-2,주식회사 썬에이스,MF5000(PE원료) [MF5000P_750KG],7177500,세금계산서,PE,Y,인쇄,조회
20251117-1,주식회사 대한종합포장,원형PAD [400*200 인쇄],471240,세금계산서,PP,Y,인쇄,조회
20251113-4,주식회사 대한종합포장,고메리 2500m IN(하향) 무인쇄-풀 [427*427*410],1034000,세금계산서,PP,Y,인쇄,조회
20251113-3,덕흥수지,PP원료(A),22176000,세금계산서,PP,Y,인쇄,조회
20251113-2,백암지관공업사,지관 200 [지관 200＊8＊186] 외 1건,1017016,세금계산서,PP,Y,인쇄,조회
20251113-1,백암지관공업사,지관 200 [지관 200＊8＊190] 외 1건,1133132,세금계산서,PP,Y,인쇄,조회
