2000~2025 년도 KIC 구매현황,,,,,,,,,,,
월/일,창고명,분류,구매처명,품명 및 규격,수량,단가,공급가액,부가세,합 계,그룹명,적요
20091201-1,PP,,(주)이카운트,원재료,160,2000,320000,32000,352000,, 
20091201-1,PP,,(주)이카운트,부자재,80,1000,80000,8000,88000,, 
20091229-1,PE,,호남석유화학(주),PP 파샤,20000,1450,29000000,2900000,31900000,, 
09/12 계,,,,,20240,4450,29400000,2940000,32340000,,
20100104-1,PP,원재료(PE신재),(주)세우케미칼,E 308E 308,26000,1570,40820000,4082000,44902000,PE신재, 
20100104-2,PP,지관(PP),백암지관공업사,지관 406지관 406＊6＊155,50,1020,51000,5100,56100,, 
20100104-2,PP,지관(PP),백암지관공업사,지관 200지관 200＊8＊190,1226,460,563960,56396,620356,, 
20100104-2,PP,지관(PP),백암지관공업사,지관 200지관 200＊4＊190,728,300,218400,21840,240240,, 
20100104-2,PP,지관(PP),백암지관공업사,지관 50지관 50＊5＊180,8800,115,1012000,101200,1113200,, 
20100105-1,PP,스토퍼,영창프라스틱,STOPPER 50 PCSSTOPPER 50 PCS 투명,20000,12.5,250000,25000,275000,타사제품, 
20100105-1,PP,비니루,영창프라스틱,지퍼팩,600,20,12000,1200,13200,, 
20100105-2,PP,원재료(PP재생),자강산업(주),PP원료PP원료,3870,1280,4953600,495360,5448960,PP재생, 
20100108-1,PE,지관(PP),백암지관공업사,지관 200지관 200＊8＊190,336,460,154560,15456,170016,, 
20100108-1,PE,지관(PP),백암지관공업사,지관 200지관 200＊4＊190,420,300,126000,12600,138600,, 
20100108-1,PE,지관(PP),백암지관공업사,지관 50지관 50＊5＊181,4400,115,506000,50600,556600,, 
20100108-2,PE,원재료(PP신재),(주)세우케미칼,50145014,26000,1460,37960000,3796000,41756000,PP신재, 
20100108-3,PE,,삼원계전(안산),인버터인버터,1,550000,550000,55000,605000,, 
20100108-4,PP,원재료(PP재생),(주)그린엔텍,PP특APP특A,25270,1390,35125300,3512530,38637830,PP재생, 
20100112-1,PP,원재료(PP재생),대지산업,PP특APP특A,9627,1250,12033750,1203375,13237125,PP재생, 
