일자,거래처명,창고,품   목 [규격],수량(kg),단위,단가,외화금액,공급가액,부가세,합계,적요,법인명(삼성),오더번호
20091201,(주)이카운트,PE,완제품,11.0000000000, ,4150.0000000000,300.0000000000,440000.0000000000,8000.0000000000,448000.0000000000, , , 
2009/12  계,,,,11,,4150,300,440000,8000,448000,,,
20100105,자강산업(주),PP,PP18M,1500.0000000000,KG,1630.0000000000,0.0000000000,2445000.0000000000,244500.0000000000,2689500.0000000000, , , 
20100106,경인팩,PE,PE28mm 2kgPE 28M／M (백) 2KG,2725.0000000000,KG,1968.7500000000,0.0000000000,5352500.0000000000,535250.0000000000,5887750.0000000000, , , 
20100107,(주)삼화인쇄,PP,PP10.5MPP 10.5M 10KG 투명,6685.0000000000,KG,2021.4285714286,0.0000000000,14212250.0000000000,1421225.0000000000,15633475.0000000000, , , 
20100108,한국미쓰비시상사(주),PE,PE28mmPE 28M／M (백색),15312.5000000000,KG,1689.5000000000,1752960.0000000000,28740707.0000000000,852125.0000000000,29592832.0000000000, , , 
20100111,(주)삼화인쇄,PP,PP10.5MPP 10.5M 10KG 투명,9144.0000000000,KG,1744.4444444444,0.0000000000,15803000.0000000000,1580300.0000000000,17383300.0000000000, , , 
20100112,KOMERI,PP,15 x 100M 0.55T15 x 100M 0.55T 녹색,18394.0000000000,KG,985.4671866667,2875720.0000000000,45552434.0000000000,1056700.0000000000,46609134.0000000000, , , 
20100113,"SANYU CO.,LTD",PP,15 x 100M 0.55T15 x 100M 0.55T 황색,8555.0000000000,KG,1382.7152000000,1116500.0000000000,16712127.0000000000,293195.0000000000,17005322.0000000000, , , 
20100114,경인팩,PE,PE28mm 2kgPE 28M／M (백) 2KG,2791.0000000000,KG,1800.0000000000,0.0000000000,6044700.0000000000,604470.0000000000,6649170.0000000000, , , 
20100115,(주)디에스팩,PP,STOPPER 50 PCSSTOPPER 50 PCS 투명,41455.0000000000,ea,1601.8785714286,0.0000000000,19204365.0000000000,1215680.0000000000,20420045.0000000000,STOPPER, , 
20100118,(주)교학사,PP,PP12MPP 12M／M 12.5(황),4050.0000000000,KG,2028.5714285714,0.0000000000,7497500.0000000000,749750.0000000000,8247250.0000000000, , , 
20100119,KOMERI,PP,15 x 100M 0.55T15 x 100M 0.55T 녹색,17444.0000000000,KG,1160.1115444444,2875720.0000000000,44284938.0000000000,853600.0000000000,45138538.0000000000, , , 
20100120,TSUKASA CHEMICAL INDUSTRY,PE,"PE28mm, 6KGPE 28M／M (백) 6KG",11545.0000000000,KG,1467.4000000000,1592640.0000000000,22606522.0000000000,295000.0000000000,22901522.0000000000, , , 
20100121,동방포장기자재,PE,PE28mm 2kgPE 28M／M (백) 2KG,1845.0000000000,KG,2262.5000000000,0.0000000000,4130000.0000000000,413000.0000000000,4543000.0000000000, , , 
20100122,삼원산업,PP,PP12MPP 12M／M 12KG(황),5944.0000000000,KG,2022.7272727273,0.0000000000,10803450.0000000000,1080345.0000000000,11883795.0000000000,150롤, , 
20100125,(주)대림칼라,PP,PP 11MM11MM -10KG (백),15404.0000000000,KG,1377.2837500000,1783565.0000000000,31403226.0000000000,861640.0000000000,32264866.0000000000, , , 
20100126,대경(박타원),PE,PE28mm 2kgPE 28M／M (백) 2KG,3345.0000000000,KG,2150.0000000000,0.0000000000,7694000.0000000000,769400.0000000000,8463400.0000000000, , , 
20100127,광림포장기계컨베이어,PE,PE28mm 2kgPE 28M／M (백) 2KG,5120.0000000000,KG,1791.6666666667,0.0000000000,9060000.0000000000,906000.0000000000,9966000.0000000000, , , 
