일자-No.,품목명(규격),수량(kg),단가,공급가액,부가세,합계,거래처명
20091201-1,완제품,10.0000000000,8000.0000000000,80000.0000000000,8000.0000000000,88000.0000000000,(주)이카운트
20091201-2,완제품,1.0000000000,300.0000000000,360000.0000000000,0.0000000000,360000.0000000000,(주)이카운트
2009/12  계,,11,8300,440000,8000,448000,
20100105-2,PP18M,1000.0000000000,1630.0000000000,1630000.0000000000,163000.0000000000,1793000.0000000000,자강산업(주)
20100105-3,PP18M,500.0000000000,1630.0000000000,815000.0000000000,81500.0000000000,896500.0000000000,케이디켐(주)당진공장
20100106-1,PE28mm 2kgPE 28M／M (백) 2KG,720.0000000000,2250.0000000000,1620000.0000000000,162000.0000000000,1782000.0000000000,경인팩
20100106-2,PP12MPP 12M／M 10KG(황),125.0000000000,1700.0000000000,212500.0000000000,21250.0000000000,233750.0000000000,경인팩
20100106-2,PP15MPP 15M／M 10KG(황),20.0000000000,1700.0000000000,34000.0000000000,3400.0000000000,37400.0000000000,경인팩
20100106-3,PE28mm 2kgPE 28M／M (백) 2KG,60.0000000000,2600.0000000000,156000.0000000000,15600.0000000000,171600.0000000000,송화포장
20100106-4,PP6MMPP 6M／M 10KG(청),100.0000000000,2000.0000000000,200000.0000000000,20000.0000000000,220000.0000000000,제일산업(주)(화성)
20100106-4,PP12MPP 12M／M 9KG,540.0000000000,1500.0000000000,810000.0000000000,81000.0000000000,891000.0000000000,제일산업(주)(화성)
20100106-4,PP6MMPP 6M／M 10KG,420.0000000000,2000.0000000000,840000.0000000000,84000.0000000000,924000.0000000000,제일산업(주)(화성)
20100106-5,PP8MMPP 8M／M 10KG,740.0000000000,2000.0000000000,1480000.0000000000,148000.0000000000,1628000.0000000000,제일산업(주)(화성)
20100107-1,PP10.5MPP 10.5M 10KG 투명,1000.0000000000,1800.0000000000,1800000.0000000000,180000.0000000000,1980000.0000000000,(주)삼화인쇄
20100107-1,PP12MPP 12M／M 10KG(황),1000.0000000000,1650.0000000000,1650000.0000000000,165000.0000000000,1815000.0000000000,(주)삼화인쇄
20100107-3,PE28mm 2kgPE 28M／M (백) 2KG,1440.0000000000,2400.0000000000,3456000.0000000000,345600.0000000000,3801600.0000000000,대상산업
20100107-4,PP12MPP 12M／M 10KG (검정),500.0000000000,1550.0000000000,775000.0000000000,77500.0000000000,852500.0000000000,상원포장
20100107-5,PE28mm 2kgPE 28M／M (백) 2KG,2000.0000000000,2600.0000000000,5200000.0000000000,520000.0000000000,5720000.0000000000,제일포장(김해)
