일자,재고담당,거래처명,품목코드,품  목,품목별납기일자,환율,단가,원화  단가,단위단가,수량(kg),공급가액,원화합계,외화금액,오더번호,적요,법인명(삼성),오더번호,결제조건,거래유형명
20091201,,(주)이카운트,T01,완제품,,0.0000000000,8000.0000000000,0,0,10.0000000000,80000.0000000000,88000.0000000000,0.0000000000, , , , , ,세금계산서
20091201,,(주)이카운트,T01,완제품,,1200.0000000000,300.0000000000,360000,0,1.0000000000,360000.0000000000,360000.0000000000,300.0000000000, , , , , ,수출
09/12 계,,,,,,,,,,11,440000,448000,300,,,,,,
20100105,조기현,자강산업(주),P1800012,PP18M,,0.0000000000,1630.0000000000,0,0,1000.0000000000,1630000.0000000000,1793000.0000000000,0.0000000000, , , , , ,세금계산서
20100105,조기현,케이디켐(주)당진공장,P1800012,PP18M,,0.0000000000,1630.0000000000,0,0,500.0000000000,815000.0000000000,896500.0000000000,0.0000000000, , , , , ,세금계산서
20100106,김형철,경인팩,E2800001,PE28mm 2kgPE 28M／M (백) 2KG,,0.0000000000,2250.0000000000,0,0,720.0000000000,1620000.0000000000,1782000.0000000000,0.0000000000, , , , , ,세금계산서
20100106,조기현,경인팩,P1200001,PP12MPP 12M／M 10KG(황),,0.0000000000,1700.0000000000,0,414.63414634146341463414634146,125.0000000000,212500.0000000000,233750.0000000000,0.0000000000, , , , , ,세금계산서
20100106,조기현,경인팩,P1500005,PP15MPP 15M／M 10KG(황),,0.0000000000,1700.0000000000,0,293.10344827586206896551724138,20.0000000000,34000.0000000000,37400.0000000000,0.0000000000, , , , , ,세금계산서
20100106,김형철,송화포장,E2800001,PE28mm 2kgPE 28M／M (백) 2KG,,0.0000000000,2600.0000000000,0,0,60.0000000000,156000.0000000000,171600.0000000000,0.0000000000, , , , , ,세금계산서
20100106,조기현,제일산업(주)(화성),P0600005,PP6MMPP 6M／M 10KG(청),,0.0000000000,2000.0000000000,0,1000,100.0000000000,200000.0000000000,220000.0000000000,0.0000000000, , , , , ,세금계산서
20100106,조기현,제일산업(주)(화성),P1200005,PP12MPP 12M／M 9KG,,0.0000000000,1500.0000000000,0,0,540.0000000000,810000.0000000000,891000.0000000000,0.0000000000, , , , , ,세금계산서
20100106,조기현,제일산업(주)(화성),P0600001,PP6MMPP 6M／M 10KG,,0.0000000000,2000.0000000000,0,0,420.0000000000,840000.0000000000,924000.0000000000,0.0000000000, , , , , ,세금계산서
20100106,조기현,제일산업(주)(화성),P0800001,PP8MMPP 8M／M 10KG,,0.0000000000,2000.0000000000,0,0,740.0000000000,1480000.0000000000,1628000.0000000000,0.0000000000, , , , , ,세금계산서
20100107,조기현,(주)삼화인쇄,P1000003,PP10.5MPP 10.5M 10KG 투명,,0.0000000000,1800.0000000000,0,529.41176470588235294117647059,1000.0000000000,1800000.0000000000,1980000.0000000000,0.0000000000, , , , , ,세금계산서
20100107,조기현,(주)삼화인쇄,P1200001,PP12MPP 12M／M 10KG(황),,0.0000000000,1650.0000000000,0,402.43902439024390243902439024,1000.0000000000,1650000.0000000000,1815000.0000000000,0.0000000000, , , , , ,세금계산서
20100107,김형철,대상산업,E2800001,PE28mm 2kgPE 28M／M (백) 2KG,,0.0000000000,2400.0000000000,0,0,1440.0000000000,3456000.0000000000,3801600.0000000000,0.0000000000, , , , , ,세금계산서
20100107,조기현,상원포장,P1200019,PP12MPP 12M／M 10KG (검정),,0.0000000000,1550.0000000000,0,0,500.0000000000,775000.0000000000,852500.0000000000,0.0000000000, , , , , ,세금계산서
20100107,김형철,제일포장(김해),E2800001,PE28mm 2kgPE 28M／M (백) 2KG,,0.0000000000,2600.0000000000,0,0,2000.0000000000,5200000.0000000000,5720000.0000000000,0.0000000000, , , , , ,세금계산서
20100107,조기현,광림포장기계컨베이어,P1200007,PP12MPP 12M／M 12.5(황),,0.0000000000,1650.0000000000,0,402.43902439024390243902439024,625.0000000000,1031250.0000000000,1134375.0000000000,0.0000000000, , , , , ,세금계산서
