출하번호,출하창고명,품명,수량,진행상태,인쇄
20260105-1,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20251231-1,PP,PP6MM [PP6M／M10KG(백)] 외 3건,1042.0000000000,진행중,인쇄
20251230-3,PE,PE28mm 2kg [PE28M／M(백)2KG],640.0000000000,진행중,인쇄
20251230-2,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20251230-1,PE,"PE28mm, 6KG [PE28M／M(백)6KG]",1200.0000000000,진행중,인쇄
20251229-2,PP,PP6MM [PP6M／M10KG(백)] 외 2건,761.0000000000,진행중,인쇄
20251229-1,PE,"PE28mm, 6KG [PE28M／M(백)6KG]",672.0000000000,진행중,인쇄
20251222-1,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20251217-3,PP,PP6MM [PP6M／M10KG(백)] 외 2건,562.0000000000,진행중,인쇄
20251217-2,PP,PP6MM [PP6M／M10KG(백)] 외 1건,1683.0000000000,진행중,인쇄
20251217-1,PE,PE28mm 2kg [PE28M／M(백)2KG],1280.0000000000,진행중,인쇄
20251212-2,PP,PP6MM [PP6M／M10KG(백)] 외 1건,1122.0000000000,진행중,인쇄
20251212-1,PE,PE28mm 2kg [PE28M／M(백)2KG],640.0000000000,진행중,인쇄
20251211-1,PE,"PE28mm, 6KG [PE28M／M(백)6KG]",576.0000000000,진행중,인쇄
20251208-2,PP,PP6MM [PP6M／M10KG(백)] 외 1건,1122.0000000000,진행중,인쇄
20251208-1,PE,"PE28mm, 6KG [PE28M／M(백)6KG] 외 1건",872.0000000000,진행중,인쇄
20251202-1,PE,"PE28mm, 6KG [PE28M／M(백)6KG]",24.0000000000,진행중,인쇄
20251127-1,PE,PE28mm 2kg [PE28M／M(백)2KG],640.0000000000,진행중,인쇄
20251125-2,PP,PP12M [PP12M／M10KG(백)] 외 2건,1322.0000000000,진행중,인쇄
20251125-1,PE,PE28mm 2kg [PE28M／M(백)2KG],640.0000000000,진행중,인쇄
20251117-2,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 1건,1312.0000000000,진행중,인쇄
20251117-1,PP,PP6MM [PP6M／M10KG(백)] 외 1건,1122.0000000000,진행중,인쇄
20251113-2,PP,PP6MM [PP6M／M10KG(황)],560.0000000000,진행중,인쇄
20251113-1,PE,PE28mm 2kg [PE28M／M(백)2KG] 외 1건,1840.0000000000,진행중,인쇄
20251112-2,PP,PP6MM [PP6M／M10KG(백)] 외 3건,1741.0000000000,진행중,인쇄
20251112-1,PE,PE28mm 2kg [PE28M／M(백)2KG],640.0000000000,진행중,인쇄
