일자,재고담당,거래처명,품목코드,품  목,품목별납기일자,환율,단가,원화  단가,단위단가,수량(kg),공급가액,원화합계,외화금액,오더번호,적요,법인명(삼성),오더번호,결제조건,거래유형명
20100105,조기현,자강산업(주),P1800012,PP18M,,0,1630,0,0,1000,1630000,1793000,0, , , , , ,세금계산서
20100105,조기현,케이디켐(주)당진공장,P1800012,PP18M,,0,1630,0,0,500,815000,896500,0, , , , , ,세금계산서
20100106,김형철,경인팩,E2800001,PE28mm 2kgPE 28M／M (백) 2KG,,0,2250,0,0,720,1620000,1782000,0, , , , , ,세금계산서
20100106,조기현,경인팩,P1200001,PP12MPP 12M／M 10KG(황),,0,1700,0,414.6341463,125,212500,233750,0, , , , , ,세금계산서
20100106,조기현,경인팩,P1500005,PP15MPP 15M／M 10KG(황),,0,1700,0,293.1034483,20,34000,37400,0, , , , , ,세금계산서
20100106,김형철,송화포장,E2800001,PE28mm 2kgPE 28M／M (백) 2KG,,0,2600,0,0,60,156000,171600,0, , , , , ,세금계산서
20100106,조기현,제일산업(주)(화성),P0600005,PP6MMPP 6M／M 10KG(청),,0,2000,0,1000,100,200000,220000,0, , , , , ,세금계산서
20100106,조기현,제일산업(주)(화성),P1200005,PP12MPP 12M／M 9KG,,0,1500,0,0,540,810000,891000,0, , , , , ,세금계산서
20100106,조기현,제일산업(주)(화성),P0600001,PP6MMPP 6M／M 10KG,,0,2000,0,0,420,840000,924000,0, , , , , ,세금계산서
20100106,조기현,제일산업(주)(화성),P0800001,PP8MMPP 8M／M 10KG,,0,2000,0,0,740,1480000,1628000,0, , , , , ,세금계산서
20100107,조기현,(주)삼화인쇄,P1000003,PP10.5MPP 10.5M 10KG 투명,,0,1800,0,529.4117647,1000,1800000,1980000,0, , , , , ,세금계산서
20100107,조기현,(주)삼화인쇄,P1200001,PP12MPP 12M／M 10KG(황),,0,1650,0,402.4390244,1000,1650000,1815000,0, , , , , ,세금계산서
20100107,김형철,대상산업,E2800001,PE28mm 2kgPE 28M／M (백) 2KG,,0,2400,0,0,1440,3456000,3801600,0, , , , , ,세금계산서
20100107,조기현,상원포장,P1200019,PP12MPP 12M／M 10KG (검정),,0,1550,0,0,500,775000,852500,0, , , , , ,세금계산서
20100107,김형철,제일포장(김해),E2800001,PE28mm 2kgPE 28M／M (백) 2KG,,0,2600,0,0,2000,5200000,5720000,0, , , , , ,세금계산서
20100107,조기현,광림포장기계컨베이어,P1200007,PP12MPP 12M／M 12.5(황),,0,1650,0,402.4390244,625,1031250,1134375,0, , , , , ,세금계산서
