거래처명,거래건수,최초거래일,최근거래일,총수량(kg),총공급가액
경인팩,6567,2010-01-06,2026-01-05,2649534.6,6253189584.0
(주)아이마켓코리아,5946,2015-12-24,2025-12-24,6181838.48,11003177598.0
대상산업,2427,2010-01-07,2026-01-02,808506.5,2114515576.0
파워엠팩,2400,2010-01-11,2025-07-23,1493724.0,2849830956.0
(주)지엔에스트레이딩,2167,2010-04-02,2014-06-05,1250035.0,2687614371.0
동원팩,1907,2016-08-19,2026-01-05,539943.0,1347668809.0
신광포장기계,1683,2014-07-09,2026-01-05,570182.34,1128887753.0
광림파워팩,1613,2011-05-12,2021-11-04,1139239.5,2130202500.0
KOMERI,1331,2010-01-12,2025-11-23,1204063.24,3303815927.0
주식회사 에이씨티,1234,2014-05-26,2016-01-20,641562.0,1256053562.0
RLBUTTON,1009,2010-03-06,2025-12-16,1915555.2,3982866486.0
합동포장기계,947,2010-01-18,2026-01-05,659114.0,1358342585.0
전주삼신산업,871,2010-12-20,2025-12-29,179992.0,455107220.0
"SANYU CO.,LTD",686,2010-01-13,2020-03-02,7693305.6,1147635168.0
CYKLOP PACKAGING SYSTEMS PTY LTD.,594,2016-10-13,2025-12-25,1834889.9,3853837781.0
금산포장,499,2010-01-11,2026-01-05,220258.3,594942206.0
삼원산업,463,2010-01-22,2025-12-31,411905.0,766084490.0
진송팩,455,2016-01-26,2026-01-02,186517.0,476215650.0
한서포장,426,2010-01-15,2021-07-29,217722.5,444424975.0
(주)삼화인쇄,417,2010-01-07,2023-07-18,290496.0,573945800.0
NORTH SHORE,402,2010-05-11,2024-10-25,807771.41,2249312767.0
POWERPAK,399,2010-10-15,2024-04-25,781065.3,1723097764.0
ANDERSON WHOLESALE PACKAGING PTY LTD.,379,2016-05-19,2025-12-14,847541.9,1811774461.0
주신산업,375,2021-07-29,2026-01-05,18339.0,47439400.0
주식회사 광림파워팩,360,2020-04-28,2025-12-31,231493.9,460817335.0
서울포장기계,325,2015-04-06,2022-01-21,250155.0,415888500.0
(주)한제피앤에스,314,2010-03-18,2023-10-25,549106.2,928372500.0
보우팩,308,2018-05-15,2025-08-06,296471.0,636298700.0
TIGERPAK PACKAGING,279,2015-01-16,2025-12-25,730348.41,1636080466.0
NZ SAFETY BLACKWOODS,257,2017-02-11,2025-11-02,416964.16,886204361.0
상일교역상사,256,2010-03-26,2025-08-13,1313152.73,3016894711.0
(주)낙원포장,250,2018-12-19,2025-12-23,471932.5,955715100.0
제일산업(주)(화성),250,2010-01-06,2014-03-19,124833.0,259971050.0
대경(박타원),245,2010-01-08,2017-01-02,89798.5,223533165.0
동방포장기자재,215,2010-01-21,2025-11-24,154145.0,273652740.0
한솔포장,206,2017-02-08,2020-03-27,83288.0,220682382.0
광림포장기계,203,2021-11-10,2025-12-31,128012.6,257559980.0
(주)탐스텍,192,2013-03-07,2025-12-29,325911.3,624635910.02
대영포장(주)발안공장,189,2016-04-14,2021-01-04,230221.5,423632680.0
주식회사 동원피앤아이,184,2017-04-07,2025-12-26,692594.0,471069290.0
PACKAGING HOUSE,182,2011-10-27,2017-01-07,385614.0,854441820.0
ABL,179,2010-02-27,2024-07-10,285375.8,706203371.0
신대한판지(주),177,2018-07-01,2024-08-12,159779.0,328230100.0
동서포장종합상사,177,2010-04-12,2025-12-18,20631.0,60676700.0
강원농협연합포장재가공사업소,177,2015-10-26,2025-11-17,211311.0,414689630.0
주)대성씨앤씨,176,2020-11-02,2025-12-22,31962.5,232252350.0
한국미쓰비시상사(주),174,2010-01-08,2015-04-03,587248.0,1221185328.0
광림포장기계컨베이어,165,2010-01-07,2011-05-03,142416.0,263621180.0
신광포장기계(부산),164,2010-01-13,2025-11-04,16280.0,46800560.0
한남포장기계,161,2017-01-16,2025-12-16,106999.0,221982800.0
