거래처,품목,주문횟수,평균주기(일),주기표준편차,평균수량(kg),최근주문일,경과일수,주문규칙성점수,거래유형
서흥포장 주식회사,스트레치필름(특수기능형)15*500*400,17,43.0,6.5,40.0,2025-12-10,40,90.3,안정
에이원코리아,PP12MPP12M／M12KG(황),14,52.5,11.5,1157.14,2025-12-29,21,87.9,안정
(주)영화수출포장,PE 결속끈PE#50 (백) 5500m 5KG,9,85.0,11.7,600.0,2025-11-14,66,86.5,안정
주)대성씨앤씨,PP12MPP12M／M10KG(백),9,88.1,16.2,473.33,2025-12-22,28,86.3,안정
RLBUTTON,PP19MPP19M／M*0.55T 1000M Blue,12,62.0,16.0,4304.08,2025-12-16,34,85.2,안정
피앤비,PP12MPP12M／M10KG(백),10,66.8,14.6,464.0,2025-11-06,74,85.0,안정
RLBUTTON,PP19M * 1000M HD BlackPP19MM*1000M*0.85T Black,12,62.0,16.6,4083.2,2025-12-16,34,84.7,안정
주)대성씨앤씨,스트레치필름(일반 기계랩)20*500mm*1400m,24,29.5,7.8,51.67,2025-12-09,41,84.6,안정
(주)금성칼라팩,PP7MPP7M10KG백색,8,90.0,11.7,1260.0,2025-11-24,56,84.4,안정
신광포장기계,PP9MMPP9M／M10KG(투명),13,51.3,15.3,280.0,2026-01-05,14,84.4,안정
한길포장기계,PP12MPP12M／M10KG(백),21,36.7,11.0,665.71,2026-01-05,14,84.2,안정
합동포장기계,PP12MPP12M／M10KG(황),26,29.4,8.9,394.23,2026-01-05,14,84.0,안정
에이원코리아,운송료운송료,15,48.7,14.5,-0.73,2025-12-29,21,83.9,안정
한길포장기계,PP12MPP12M／M10KG(황),24,31.9,10.4,815.42,2026-01-05,14,82.9,안정
주식회사 동원피앤아이,"PE50mm, 4.7KGPE50M／M(황)4.7KG",17,44.6,13.8,655.24,2025-12-17,33,82.7,안정
경인산업,PP7MPP7M10KG백색,8,89.0,12.9,640.0,2025-10-31,80,82.4,안정
주식회사 진도종합상사,운송료,9,41.9,13.1,4.22,2026-01-05,14,80.6,안정
주식회사 광림파워팩,PP12MPP12M／M12.5KG (황),27,26.8,9.9,599.56,2025-12-31,19,80.5,안정
하영종합상사,운송료,10,63.7,17.1,6.0,2025-09-29,112,80.4,불규칙
신광포장기계,PP15MPP15MM*10KG(청색),11,62.4,20.9,236.36,2025-11-26,54,80.3,안정
합동포장기계,PP6MMPP6M／M10KG(백),19,38.8,14.9,286.84,2026-01-05,14,80.1,안정
제이케이머티리얼즈(주)/순성공장,PP18MPP18M／M10KG(황),30,23.9,8.9,1157.0,2025-12-26,24,80.0,안정
경인산업,PP12MPP12M／M10KG(황),15,47.3,15.9,534.67,2025-11-14,66,79.6,안정
(주)수현물산,PP15MPP15M／M9KG(황),8,84.6,19.3,10.12,2025-11-24,56,79.5,안정
주식회사 대원포장기계,PE28mm 2kgPE28M／M(백)2KG,19,37.3,13.6,400.0,2025-12-01,49,79.2,안정
피앤비,PP7MPP7M10KG백색,10,70.9,23.7,459.0,2025-11-06,74,79.2,안정
세화종합상사,PE28mm 2kgPE28M／M(백)2KG,10,67.2,24.3,38.0,2025-11-24,56,78.8,안정
RLBUTTON,팔레트팔레트,13,56.8,22.0,15.69,2025-12-16,34,78.8,안정
주식회사 진도종합상사,PE28mm 2kgPE28M／M(백)2KG,16,42.7,17.7,82.5,2026-01-05,14,78.6,안정
주)대성씨앤씨,PP5MMx7000Mx0.5T 11.4kg 백색core 200x8T OD400 롤랩핑 400*200,7,111.8,19.3,52.57,2025-11-03,77,78.2,안정
호성수출포장,스트레치필름(일반 핸드랩 20)20*500mm*350m,10,71.6,25.1,88.0,2025-10-31,80,78.1,안정
합동포장기계,PP12MPP12M／M12.5KG (황),32,23.7,10.0,1765.62,2026-01-05,14,78.1,안정
이록기업사,PP7MPP7M10KG백색,3,197.5,1.5,630.0,2026-01-05,14,77.9,불규칙
대상산업,"PE50mm, 6KGPE50M／M(황)6KG",13,53.2,20.0,230.77,2025-11-20,60,77.9,안정
이록기업사,운송료,3,197.5,1.5,1.0,2026-01-05,14,77.9,불규칙
합동포장기계,PE28mm 2kgPE28M／M(백)2KG,35,21.6,9.3,663.43,2026-01-05,14,77.7,안정
신광포장기계,PP18MPP18M／M10KG 황색인쇄밴드,15,27.5,10.8,1008.67,2025-12-02,48,77.6,안정
대상산업,PP6MMPP6M／M10KG(황),6,91.0,14.8,100.0,2025-12-09,41,77.6,안정
(주)신명코퍼레이션,PP18MM*21kg 삼성 recycle2300M두께0.80mm단중8.8g Clear,4,87.7,6.6,20.0,2026-01-05,14,77.4,불규칙
(주)인스트아이앤씨,운송료,10,55.9,13.2,1.9,2025-07-01,202,77.1,휴면
(주)인스트아이앤씨,PE28mm 2kgPE28M／M(백)2KG,10,55.9,13.2,38.0,2025-07-01,202,77.1,휴면
NZ SAFETY BLACKWOODS,PP19MPP19M／M*0.55T 1000M Blue,10,72.2,26.9,1503.28,2025-11-02,78,77.1,안정
